P_G2_MW,P_G3_MW
10.535,147.191
10.535,148.395
10.535,148.997
10.535,150.201
10.535,150.803
10.535,152.007
10.535,152.609
10.535,154.415
10.535,155.017
10.535,156.221
10.535,156.823
10.535,158.027
10.535,158.629
10.535,160.435
10.535,161.037
10.535,162.241
10.535,162.843
10.535,164.047
10.535,164.649
10.535,165.853
10.535,166.455
10.535,167.659
10.535,168.261
10.535,170.067
10.535,170.669
10.535,171.873
10.535,172.475
10.535,173.679
10.535,174.281
10.535,174.883
10.836,9.933
10.836,11.137
10.836,11.739
10.836,13.545
10.836,14.147
10.836,15.351
10.836,15.953
10.836,17.157
10.836,17.759
10.836,19.565
10.836,20.167
10.836,21.371
10.836,21.973
10.836,23.177
10.836,23.779
10.836,24.983
10.836,25.585
10.836,26.789
10.836,27.391
10.836,29.197
10.836,29.799
10.836,31.003
10.836,31.605
10.836,32.809
10.836,33.411
10.836,34.615
10.836,35.217
10.836,37.023
10.836,127.926
10.836,129.13
10.836,129.732
10.836,130.936
10.836,131.538
10.836,132.742
10.836,133.344
10.836,134.548
10.836,135.151
10.836,136.355
10.836,136.957
10.836,138.763
10.836,139.365
10.836,140.569
10.836,141.171
10.836,142.375
10.836,142.977
10.836,144.783
10.836,145.385
10.836,146.589
10.836,147.191
10.836,148.395
10.836,148.997
10.836,150.201
10.836,150.803
10.836,152.007
10.836,152.609
10.836,154.415
10.836,155.017
10.836,156.221
10.836,156.823
10.836,158.027
10.836,158.629
10.836,160.435
10.836,161.037
10.836,162.241
10.836,162.843
10.836,164.047
10.836,164.649
10.836,165.853
10.836,166.455
10.836,167.659
10.836,168.261
10.836,170.067
10.836,170.669
10.836,171.873
10.836,172.475
10.836,173.679
10.836,174.281
10.836,174.883
11.137,9.933
11.137,10.234
11.137,10.535
11.137,10.836
11.137,11.137
11.137,11.739
11.137,12.04
11.137,12.341
11.137,12.642
11.137,12.943
11.137,13.244
11.137,13.545
11.137,14.147
11.137,14.448
11.137,14.749
11.137,15.05
11.137,15.351
11.137,15.953
11.137,16.254
11.137,16.555
11.137,16.856
11.137,17.157
11.137,17.759
11.137,18.06
11.137,18.361
11.137,18.662
11.137,18.963
11.137,19.264
11.137,19.565
11.137,20.167
11.137,20.468
11.137,20.769
11.137,21.07
11.137,21.371
11.137,21.973
11.137,22.274
11.137,22.575
11.137,22.876
11.137,23.177
11.137,23.779
11.137,24.08
11.137,24.381
11.137,24.682
11.137,24.983
11.137,25.585
11.137,25.886
11.137,26.187
11.137,26.488
11.137,26.789
11.137,27.391
11.137,27.692
11.137,27.993
11.137,28.294
11.137,28.595
11.137,28.896
11.137,29.197
11.137,29.799
11.137,30.1
11.137,30.401
11.137,30.702
11.137,31.003
11.137,31.605
11.137,31.906
11.137,32.207
11.137,32.508
11.137,32.809
11.137,33.411
11.137,33.712
11.137,34.013
11.137,34.314
11.137,34.615
11.137,35.217
11.137,35.518
11.137,35.819
11.137,36.12
11.137,36.421
11.137,36.722
11.137,37.023
11.137,127.926
11.137,128.227
11.137,128.528
11.137,128.829
11.137,129.13
11.137,129.732
11.137,130.033
11.137,130.334
11.137,130.635
11.137,130.936
11.137,131.538
11.137,131.839
11.137,132.14
11.137,132.441
11.137,132.742
11.137,133.344
11.137,133.646
11.137,133.946
11.137,134.248
11.137,134.548
11.137,135.151
11.137,135.452
11.137,135.752
11.137,136.054
11.137,136.355
11.137,136.957
11.137,137.258
11.137,137.559
11.137,137.86
11.137,138.161
11.137,138.462
11.137,138.763
11.137,139.365
11.137,139.666
11.137,139.967
11.137,140.268
11.137,140.569
11.137,141.171
11.137,141.472
11.137,141.773
11.137,142.074
11.137,142.375
11.137,142.977
11.137,143.278
11.137,143.579
11.137,143.88
11.137,144.181
11.137,144.482
11.137,144.783
11.137,145.385
11.137,145.686
11.137,145.987
11.137,146.288
11.137,146.589
11.137,147.191
11.137,147.492
11.137,147.793
11.137,148.094
11.137,148.395
11.137,148.997
11.137,149.298
11.137,149.599
11.137,149.9
11.137,150.201
11.137,150.803
11.137,151.104
11.137,151.405
11.137,151.706
11.137,152.007
11.137,152.609
11.137,152.91
11.137,153.211
11.137,153.512
11.137,153.813
11.137,154.114
11.137,154.415
11.137,155.017
11.137,155.318
11.137,155.619
11.137,155.92
11.137,156.221
11.137,156.823
11.137,157.124
11.137,157.425
11.137,157.726
11.137,158.027
11.137,158.629
11.137,158.93
11.137,159.231
11.137,159.532
11.137,159.833
11.137,160.134
11.137,160.435
11.137,161.037
11.137,161.338
11.137,161.639
11.137,161.94
11.137,162.241
11.137,162.843
11.137,163.144
11.137,163.445
11.137,163.746
11.137,164.047
11.137,164.649
11.137,164.95
11.137,165.251
11.137,165.552
11.137,165.853
11.137,166.455
11.137,166.756
11.137,167.057
11.137,167.358
11.137,167.659
11.137,168.261
11.137,168.562
11.137,168.863
11.137,169.164
11.137,169.465
11.137,169.766
11.137,170.067
11.137,170.669
11.137,170.97
11.137,171.271
11.137,171.572
11.137,171.873
11.137,172.475
11.137,172.776
11.137,173.077
11.137,173.378
11.137,173.679
11.137,174.281
11.137,174.582
11.137,174.883
11.739,9.933
11.739,10.234
11.739,10.535
11.739,10.836
11.739,11.137
11.739,11.739
11.739,12.04
11.739,12.341
11.739,12.642
11.739,12.943
11.739,13.244
11.739,13.545
11.739,14.147
11.739,14.448
11.739,14.749
11.739,15.05
11.739,15.351
11.739,15.953
11.739,16.254
11.739,16.555
11.739,16.856
11.739,17.157
11.739,17.759
11.739,18.06
11.739,18.361
11.739,18.662
11.739,18.963
11.739,19.264
11.739,19.565
11.739,20.167
11.739,20.468
11.739,20.769
11.739,21.07
11.739,21.371
11.739,21.973
11.739,22.274
11.739,22.575
11.739,22.876
11.739,23.177
11.739,23.779
11.739,24.08
11.739,24.381
11.739,24.682
11.739,24.983
11.739,25.585
11.739,25.886
11.739,26.187
11.739,26.488
11.739,26.789
11.739,27.391
11.739,27.692
11.739,27.993
11.739,28.294
11.739,28.595
11.739,28.896
11.739,29.197
11.739,29.799
11.739,30.1
11.739,30.401
11.739,30.702
11.739,31.003
11.739,31.605
11.739,31.906
11.739,32.207
11.739,32.508
11.739,32.809
11.739,33.411
11.739,33.712
11.739,34.013
11.739,34.314
11.739,34.615
11.739,35.217
11.739,35.518
11.739,35.819
11.739,36.12
11.739,36.421
11.739,128.528
11.739,128.829
11.739,129.13
11.739,129.732
11.739,130.033
11.739,130.334
11.739,130.635
11.739,130.936
11.739,131.538
11.739,131.839
11.739,132.14
11.739,132.441
11.739,132.742
11.739,133.344
11.739,133.646
11.739,133.946
11.739,134.248
11.739,134.548
11.739,135.151
11.739,135.452
11.739,135.752
11.739,136.054
11.739,136.355
11.739,136.957
11.739,137.258
11.739,137.559
11.739,137.86
11.739,138.161
11.739,138.462
11.739,138.763
11.739,139.365
11.739,139.666
11.739,139.967
11.739,140.268
11.739,140.569
11.739,141.171
11.739,141.472
11.739,141.773
11.739,142.074
11.739,142.375
11.739,142.977
11.739,143.278
11.739,143.579
11.739,143.88
11.739,144.181
11.739,144.482
11.739,144.783
11.739,145.385
11.739,145.686
11.739,145.987
11.739,146.288
11.739,146.589
11.739,147.191
11.739,147.492
11.739,147.793
11.739,148.094
11.739,148.395
11.739,148.997
11.739,149.298
11.739,149.599
11.739,149.9
11.739,150.201
11.739,150.803
11.739,151.104
11.739,151.405
11.739,151.706
11.739,152.007
11.739,152.609
11.739,152.91
11.739,153.211
11.739,153.512
11.739,153.813
11.739,154.114
11.739,154.415
11.739,155.017
11.739,155.318
11.739,155.619
11.739,155.92
11.739,156.221
11.739,156.823
11.739,157.124
11.739,157.425
11.739,157.726
11.739,158.027
11.739,158.629
11.739,158.93
11.739,159.231
11.739,159.532
11.739,159.833
11.739,160.134
11.739,160.435
11.739,161.037
11.739,161.338
11.739,161.639
11.739,161.94
11.739,162.241
11.739,162.843
11.739,163.144
11.739,163.445
11.739,163.746
11.739,164.047
11.739,164.649
11.739,164.95
11.739,165.251
11.739,165.552
11.739,165.853
11.739,166.455
11.739,166.756
11.739,167.057
11.739,167.358
11.739,167.659
11.739,168.261
11.739,168.562
11.739,168.863
11.739,169.164
11.739,169.465
11.739,169.766
11.739,170.067
11.739,170.669
11.739,170.97
11.739,171.271
11.739,171.572
11.739,171.873
11.739,172.475
11.739,172.776
11.739,173.077
11.739,173.378
11.739,173.679
12.04,9.933
12.04,11.137
12.04,11.739
12.04,13.545
12.04,14.147
12.04,15.351
12.04,15.953
12.04,17.157
12.04,17.759
12.04,19.565
12.04,20.167
12.04,21.371
12.04,21.973
12.04,23.177
12.04,23.779
12.04,24.983
12.04,25.585
12.04,26.789
12.04,27.391
12.04,29.197
12.04,29.799
12.04,31.003
12.04,31.605
12.04,32.809
12.04,33.411
12.04,34.615
12.04,35.217
12.04,36.421
12.04,128.528
12.04,129.13
12.04,129.732
12.04,130.936
12.04,131.538
12.04,132.742
12.04,133.344
12.04,134.548
12.04,135.151
12.04,136.355
12.04,136.957
12.04,138.763
12.04,139.365
12.04,140.569
12.04,141.171
12.04,142.375
12.04,142.977
12.04,144.783
12.04,145.385
12.04,146.589
12.04,147.191
12.04,148.395
12.04,148.997
12.04,150.201
12.04,150.803
12.04,152.007
12.04,152.609
12.04,154.415
12.04,155.017
12.04,156.221
12.04,156.823
12.04,158.027
12.04,158.629
12.04,160.435
12.04,161.037
12.04,162.241
12.04,162.843
12.04,164.047
12.04,164.649
12.04,165.853
12.04,166.455
12.04,167.659
12.04,168.261
12.04,170.067
12.04,170.669
12.04,171.873
12.04,172.475
12.04,173.679
12.341,9.933
12.341,11.137
12.341,11.739
12.341,13.545
12.341,14.147
12.341,15.351
12.341,15.953
12.341,17.157
12.341,17.759
12.341,19.565
12.341,20.167
12.341,21.371
12.341,21.973
12.341,23.177
12.341,23.779
12.341,24.983
12.341,25.585
12.341,26.789
12.341,27.391
12.341,29.197
12.341,29.799
12.341,31.003
12.341,31.605
12.341,32.809
12.341,33.411
12.341,34.615
12.341,35.217
12.341,35.518
12.341,35.819
12.341,36.12
12.341,36.421
12.341,128.528
12.341,129.13
12.341,129.732
12.341,130.936
12.341,131.538
12.341,132.742
12.341,133.344
12.341,134.548
12.341,135.151
12.341,136.355
12.341,136.957
12.341,138.763
12.341,139.365
12.341,140.569
12.341,141.171
12.341,142.375
12.341,142.977
12.341,144.783
12.341,145.385
12.341,146.589
12.341,147.191
12.341,148.395
12.341,148.997
12.341,150.201
12.341,150.803
12.341,152.007
12.341,152.609
12.341,154.415
12.341,155.017
12.341,156.221
12.341,156.823
12.341,158.027
12.341,158.629
12.341,160.435
12.341,161.037
12.341,162.241
12.341,162.843
12.341,164.047
12.341,164.649
12.341,165.853
12.341,166.455
12.341,167.659
12.341,168.261
12.341,170.067
12.341,170.669
12.341,171.271
12.341,171.572
12.341,171.873
12.341,172.475
12.341,172.776
12.341,173.077
12.341,173.378
12.341,173.679
12.642,9.933
12.642,11.137
12.642,11.739
12.642,13.545
12.642,14.147
12.642,15.351
12.642,15.953
12.642,17.157
12.642,17.759
12.642,19.565
12.642,20.167
12.642,21.371
12.642,21.973
12.642,23.177
12.642,23.779
12.642,24.983
12.642,25.585
12.642,26.789
12.642,27.391
12.642,29.197
12.642,29.799
12.642,31.003
12.642,31.605
12.642,32.809
12.642,33.411
12.642,34.615
12.642,128.528
12.642,129.13
12.642,129.732
12.642,130.936
12.642,131.538
12.642,132.742
12.642,133.344
12.642,134.548
12.642,135.151
12.642,136.355
12.642,136.957
12.642,138.763
12.642,139.365
12.642,140.569
12.642,141.171
12.642,142.375
12.642,142.977
12.642,144.783
12.642,145.385
12.642,146.589
12.642,147.191
12.642,148.395
12.642,148.997
12.642,150.201
12.642,150.803
12.642,152.007
12.642,152.609
12.642,154.415
12.642,155.017
12.642,156.221
12.642,156.823
12.642,158.027
12.642,158.629
12.642,160.435
12.642,161.037
12.642,162.241
12.642,162.843
12.642,164.047
12.642,164.649
12.642,165.853
12.642,166.455
12.642,167.659
12.642,168.261
12.642,170.067
12.642,170.669
12.642,171.271
12.943,9.933
12.943,10.234
12.943,10.535
12.943,10.836
12.943,11.137
12.943,11.739
12.943,12.04
12.943,12.341
12.943,12.642
12.943,12.943
12.943,13.244
12.943,13.545
12.943,14.147
12.943,14.448
12.943,14.749
12.943,15.05
12.943,15.351
12.943,15.953
12.943,16.254
12.943,16.555
12.943,16.856
12.943,17.157
12.943,17.759
12.943,18.06
12.943,18.361
12.943,18.662
12.943,18.963
12.943,19.264
12.943,19.565
12.943,20.167
12.943,20.468
12.943,20.769
12.943,21.07
12.943,21.371
12.943,21.973
12.943,22.274
12.943,22.575
12.943,22.876
12.943,23.177
12.943,23.779
12.943,24.08
12.943,24.381
12.943,24.682
12.943,24.983
12.943,25.585
12.943,25.886
12.943,26.187
12.943,26.488
12.943,26.789
12.943,27.391
12.943,27.692
12.943,27.993
12.943,28.294
12.943,28.595
12.943,28.896
12.943,29.197
12.943,29.799
12.943,30.1
12.943,30.401
12.943,30.702
12.943,31.003
12.943,31.605
12.943,31.906
12.943,32.207
12.943,32.508
12.943,32.809
12.943,33.411
12.943,33.712
12.943,34.013
12.943,34.314
12.943,34.615
12.943,128.528
12.943,128.829
12.943,129.13
12.943,129.732
12.943,130.033
12.943,130.334
12.943,130.635
12.943,130.936
12.943,131.538
12.943,131.839
12.943,132.14
12.943,132.441
12.943,132.742
12.943,133.344
12.943,133.646
12.943,133.946
12.943,134.248
12.943,134.548
12.943,135.151
12.943,135.452
12.943,135.752
12.943,136.054
12.943,136.355
12.943,136.957
12.943,137.258
12.943,137.559
12.943,137.86
12.943,138.161
12.943,138.462
12.943,138.763
12.943,139.365
12.943,139.666
12.943,139.967
12.943,140.268
12.943,140.569
12.943,141.171
12.943,141.472
12.943,141.773
12.943,142.074
12.943,142.375
12.943,142.977
12.943,143.278
12.943,143.579
12.943,143.88
12.943,144.181
12.943,144.482
12.943,144.783
12.943,145.385
12.943,145.686
12.943,145.987
12.943,146.288
12.943,146.589
12.943,147.191
12.943,147.492
12.943,147.793
12.943,148.094
12.943,148.395
12.943,148.997
12.943,149.298
12.943,149.599
12.943,149.9
12.943,150.201
12.943,150.803
12.943,151.104
12.943,151.405
12.943,151.706
12.943,152.007
12.943,152.609
12.943,152.91
12.943,153.211
12.943,153.512
12.943,153.813
12.943,154.114
12.943,154.415
12.943,155.017
12.943,155.318
12.943,155.619
12.943,155.92
12.943,156.221
12.943,156.823
12.943,157.124
12.943,157.425
12.943,157.726
12.943,158.027
12.943,158.629
12.943,158.93
12.943,159.231
12.943,159.532
12.943,159.833
12.943,160.134
12.943,160.435
12.943,161.037
12.943,161.338
12.943,161.639
12.943,161.94
12.943,162.241
12.943,162.843
12.943,163.144
12.943,163.445
12.943,163.746
12.943,164.047
12.943,164.649
12.943,164.95
12.943,165.251
12.943,165.552
12.943,165.853
12.943,166.455
12.943,166.756
12.943,167.057
12.943,167.358
12.943,167.659
12.943,168.261
12.943,168.562
12.943,168.863
12.943,169.164
12.943,169.465
12.943,169.766
12.943,170.067
12.943,170.669
12.943,170.97
12.943,171.271
13.545,9.933
13.545,10.234
13.545,10.535
13.545,10.836
13.545,11.137
13.545,11.739
13.545,12.04
13.545,12.341
13.545,12.642
13.545,12.943
13.545,13.244
13.545,13.545
13.545,14.147
13.545,14.448
13.545,14.749
13.545,15.05
13.545,15.351
13.545,15.953
13.545,16.254
13.545,16.555
13.545,16.856
13.545,17.157
13.545,17.759
13.545,18.06
13.545,18.361
13.545,18.662
13.545,18.963
13.545,19.264
13.545,19.565
13.545,20.167
13.545,20.468
13.545,20.769
13.545,21.07
13.545,21.371
13.545,21.973
13.545,22.274
13.545,22.575
13.545,22.876
13.545,23.177
13.545,23.779
13.545,24.08
13.545,24.381
13.545,24.682
13.545,24.983
13.545,25.585
13.545,25.886
13.545,26.187
13.545,26.488
13.545,26.789
13.545,27.391
13.545,27.692
13.545,27.993
13.545,28.294
13.545,28.595
13.545,28.896
13.545,29.197
13.545,29.799
13.545,30.1
13.545,30.401
13.545,30.702
13.545,31.003
13.545,31.605
13.545,31.906
13.545,32.207
13.545,32.508
13.545,32.809
13.545,33.411
13.545,33.712
13.545,34.013
13.545,128.528
13.545,128.829
13.545,129.13
13.545,129.732
13.545,130.033
13.545,130.334
13.545,130.635
13.545,130.936
13.545,131.538
13.545,131.839
13.545,132.14
13.545,132.441
13.545,132.742
13.545,133.344
13.545,133.646
13.545,133.946
13.545,134.248
13.545,134.548
13.545,135.151
13.545,135.452
13.545,135.752
13.545,136.054
13.545,136.355
13.545,136.957
13.545,137.258
13.545,137.559
13.545,137.86
13.545,138.161
13.545,138.462
13.545,138.763
13.545,139.365
13.545,139.666
13.545,139.967
13.545,140.268
13.545,140.569
13.545,141.171
13.545,141.472
13.545,141.773
13.545,142.074
13.545,142.375
13.545,142.977
13.545,143.278
13.545,143.579
13.545,143.88
13.545,144.181
13.545,144.482
13.545,144.783
13.545,145.385
13.545,145.686
13.545,145.987
13.545,146.288
13.545,146.589
13.545,147.191
13.545,147.492
13.545,147.793
13.545,148.094
13.545,148.395
13.545,148.997
13.545,149.298
13.545,149.599
13.545,149.9
13.545,150.201
13.545,150.803
13.545,151.104
13.545,151.405
13.545,151.706
13.545,152.007
13.545,152.609
13.545,152.91
13.545,153.211
13.545,153.512
13.545,153.813
13.545,154.114
13.545,154.415
13.545,155.017
13.545,155.318
13.545,155.619
13.545,155.92
13.545,156.221
13.545,156.823
13.545,157.124
13.545,157.425
13.545,157.726
13.545,158.027
13.545,158.629
13.545,158.93
13.545,159.231
13.545,159.532
13.545,159.833
13.545,160.134
13.545,160.435
13.545,161.037
13.545,161.338
13.545,161.639
13.545,161.94
13.545,162.241
13.545,162.843
13.545,163.144
13.545,163.445
13.545,163.746
13.545,164.047
13.545,164.649
13.545,164.95
13.545,165.251
13.545,165.552
13.545,165.853
13.545,166.455
13.545,166.756
13.545,167.057
13.545,167.358
13.545,167.659
13.545,168.261
13.545,168.562
13.545,168.863
13.545,169.164
13.545,169.465
13.545,169.766
13.545,170.067
13.846,9.933
13.846,11.137
13.846,11.739
13.846,13.545
13.846,14.147
13.846,15.351
13.846,15.953
13.846,17.157
13.846,17.759
13.846,19.565
13.846,20.167
13.846,21.371
13.846,21.973
13.846,23.177
13.846,23.779
13.846,24.983
13.846,25.585
13.846,26.789
13.846,27.391
13.846,29.197
13.846,29.799
13.846,31.003
13.846,31.605
13.846,32.809
13.846,33.411
13.846,34.013
13.846,128.528
13.846,129.13
13.846,129.732
13.846,130.936
13.846,131.538
13.846,132.742
13.846,133.344
13.846,134.548
13.846,135.151
13.846,136.355
13.846,136.957
13.846,138.763
13.846,139.365
13.846,140.569
13.846,141.171
13.846,142.375
13.846,142.977
13.846,144.783
13.846,145.385
13.846,146.589
13.846,147.191
13.846,148.395
13.846,148.997
13.846,150.201
13.846,150.803
13.846,152.007
13.846,152.609
13.846,154.415
13.846,155.017
13.846,156.221
13.846,156.823
13.846,158.027
13.846,158.629
13.846,160.435
13.846,161.037
13.846,162.241
13.846,162.843
13.846,164.047
13.846,164.649
13.846,165.853
13.846,166.455
13.846,167.659
13.846,168.261
13.846,170.067
14.147,9.933
14.147,10.234
14.147,10.535
14.147,10.836
14.147,11.137
14.147,11.739
14.147,12.04
14.147,12.341
14.147,12.642
14.147,12.943
14.147,13.244
14.147,13.545
14.147,14.147
14.147,14.448
14.147,14.749
14.147,15.05
14.147,15.351
14.147,15.953
14.147,16.254
14.147,16.555
14.147,16.856
14.147,17.157
14.147,17.759
14.147,18.06
14.147,18.361
14.147,18.662
14.147,18.963
14.147,19.264
14.147,19.565
14.147,20.167
14.147,20.468
14.147,20.769
14.147,21.07
14.147,21.371
14.147,21.973
14.147,22.274
14.147,22.575
14.147,22.876
14.147,23.177
14.147,23.779
14.147,24.08
14.147,24.381
14.147,24.682
14.147,24.983
14.147,25.585
14.147,25.886
14.147,26.187
14.147,26.488
14.147,26.789
14.147,27.391
14.147,27.692
14.147,27.993
14.147,28.294
14.147,28.595
14.147,28.896
14.147,29.197
14.147,29.799
14.147,30.1
14.147,30.401
14.147,30.702
14.147,31.003
14.147,31.605
14.147,31.906
14.147,32.207
14.147,32.508
14.147,32.809
14.147,33.411
14.147,33.712
14.147,34.013
14.147,128.528
14.147,128.829
14.147,129.13
14.147,129.732
14.147,130.033
14.147,130.334
14.147,130.635
14.147,130.936
14.147,131.538
14.147,131.839
14.147,132.14
14.147,132.441
14.147,132.742
14.147,133.344
14.147,133.646
14.147,133.946
14.147,134.248
14.147,134.548
14.147,135.151
14.147,135.452
14.147,135.752
14.147,136.054
14.147,136.355
14.147,136.957
14.147,137.258
14.147,137.559
14.147,137.86
14.147,138.161
14.147,138.462
14.147,138.763
14.147,139.365
14.147,139.666
14.147,139.967
14.147,140.268
14.147,140.569
14.147,141.171
14.147,141.472
14.147,141.773
14.147,142.074
14.147,142.375
14.147,142.977
14.147,143.278
14.147,143.579
14.147,143.88
14.147,144.181
14.147,144.482
14.147,144.783
14.147,145.385
14.147,145.686
14.147,145.987
14.147,146.288
14.147,146.589
14.147,147.191
14.147,147.492
14.147,147.793
14.147,148.094
14.147,148.395
14.147,148.997
14.147,149.298
14.147,149.599
14.147,149.9
14.147,150.201
14.147,150.803
14.147,151.104
14.147,151.405
14.147,151.706
14.147,152.007
14.147,152.609
14.147,152.91
14.147,153.211
14.147,153.512
14.147,153.813
14.147,154.114
14.147,154.415
14.147,155.017
14.147,155.318
14.147,155.619
14.147,155.92
14.147,156.221
14.147,156.823
14.147,157.124
14.147,157.425
14.147,157.726
14.147,158.027
14.147,158.629
14.147,158.93
14.147,159.231
14.147,159.532
14.147,159.833
14.147,160.134
14.147,160.435
14.147,161.037
14.147,161.338
14.147,161.639
14.147,161.94
14.147,162.241
14.147,162.843
14.147,163.144
14.147,163.445
14.147,163.746
14.147,164.047
14.147,164.649
14.147,164.95
14.147,165.251
14.147,165.552
14.147,165.853
14.147,166.455
14.147,166.756
14.147,167.057
14.147,167.358
14.147,167.659
14.147,168.261
14.147,168.562
14.147,168.863
14.147,169.164
14.147,169.465
14.147,169.766
14.147,170.067
14.749,9.933
14.749,10.234
14.749,10.535
14.749,10.836
14.749,11.137
14.749,11.739
